stock,stock_close,stock_index,date,index,close,ind_index
IBM,7.226666,100,1962-01-01,GSPC,68.839996,100
IBM,7.1599998,99.077499,1962-02-01,GSPC,69.959999,101.62697
IBM,7.103333,98.293365,1962-03-01,GSPC,69.550003,101.03139
IBM,6.0533328,83.76384,1962-04-01,GSPC,65.239998,94.770485
IBM,5.2333331,72.416977,1962-05-01,GSPC,59.630001,86.621155
IBM,4.523334,62.592266,1962-06-01,GSPC,54.75,79.532249
IBM,5.1599998,71.402222,1962-07-01,GSPC,58.23,84.587456
IBM,5.2833328,73.108856,1962-08-01,GSPC,59.119999,85.880302
IBM,4.7133331,65.221405,1962-09-01,GSPC,56.27,81.740273
IBM,4.6133332,63.837643,1962-10-01,GSPC,56.52,82.103432
IBM,5.313334,73.524002,1962-11-01,GSPC,62.259998,90.441605
IBM,5.1999998,71.955727,1962-12-01,GSPC,63.099998,91.661827
IBM,5.6500001,78.182663,1963-01-01,GSPC,66.199997,96.165024
IBM,5.3299999,73.754616,1963-02-01,GSPC,64.290001,93.39048
IBM,5.6133332,77.675285,1963-03-01,GSPC,66.57,96.702507
IBM,6.1833329,85.562737,1963-04-01,GSPC,69.800003,101.39455
IBM,6.3633332,88.053513,1963-05-01,GSPC,70.800003,102.84719
IBM,5.8166671,80.488945,1963-06-01,GSPC,69.370003,100.76991
IBM,5.793334,80.166069,1963-07-01,GSPC,69.129997,100.42126
IBM,5.9299998,82.057198,1963-08-01,GSPC,72.5,105.31668
IBM,6.0266671,83.394852,1963-09-01,GSPC,71.699997,104.15456
IBM,6.5866671,91.143929,1963-10-01,GSPC,74.010002,107.51018
IBM,6.4699998,89.529526,1963-11-01,GSPC,73.230003,106.37711
IBM,6.7600002,93.54245,1963-12-01,GSPC,75.019997,108.97734
IBM,7.226666,100,1964-01-01,GSPC,77.040001,111.91169
IBM,7.5866671,104.98157,1964-02-01,GSPC,77.800003,113.0157
IBM,7.9233332,109.64023,1964-03-01,GSPC,78.980003,114.72982
IBM,7.603333,105.21218,1964-04-01,GSPC,79.459999,115.42709
IBM,8,110.70112,1964-05-01,GSPC,80.370003,116.74899
IBM,7.9499998,110.00923,1964-06-01,GSPC,81.690002,118.66648
IBM,7.6999998,106.54982,1964-07-01,GSPC,83.18,120.83092
IBM,7.3416672,101.59135,1964-08-01,GSPC,81.830002,118.86985
IBM,7.2750001,100.66883,1964-09-01,GSPC,84.18,122.28356
IBM,7,96.86348,1964-10-01,GSPC,84.860001,123.27136
IBM,6.875,95.133774,1964-11-01,GSPC,84.419998,122.63219
IBM,6.8249998,94.441887,1964-12-01,GSPC,84.75,123.11157
IBM,7.4749999,103.43636,1965-01-01,GSPC,87.559998,127.1935
IBM,7.5958328,105.1084,1965-02-01,GSPC,87.43,127.00465
IBM,7.5708332,104.76246,1965-03-01,GSPC,86.160004,125.15981
IBM,8.083333,111.85425,1965-04-01,GSPC,89.110001,129.4451
IBM,7.9666672,110.23987,1965-05-01,GSPC,88.419998,128.44276
IBM,7.6333332,105.62731,1965-06-01,GSPC,84.120003,122.19641
IBM,7.9833331,110.47049,1965-07-01,GSPC,85.25,123.83789
IBM,8.3166666,115.08304,1965-08-01,GSPC,87.169998,126.62697
IBM,8.541667,118.19651,1965-09-01,GSPC,89.959999,130.67984
IBM,8.8833332,122.92436,1965-10-01,GSPC,92.419998,134.25334
IBM,8.75,121.07935,1965-11-01,GSPC,91.610001,133.07671
IBM,8.3166666,115.08304,1965-12-01,GSPC,92.43,134.26787
IBM,8.2666664,114.39115,1966-01-01,GSPC,92.879997,134.92155
IBM,8.583333,118.77307,1966-02-01,GSPC,91.220001,132.51018
IBM,8.6000004,119.00371,1966-03-01,GSPC,89.230003,129.61942
IBM,9.291667,128.57474,1966-04-01,GSPC,91.059998,132.27776
IBM,9.0687504,125.4901,1966-05-01,GSPC,86.129997,125.11621
IBM,8.7624998,121.25231,1966-06-01,GSPC,84.739998,123.09704
IBM,8.5187502,117.87939,1966-07-01,GSPC,83.599998,121.44102
